title,intro,category,comp_name,comp_addr,role,requirement,preferred,due,tech_stack,welfare,procedure
"전자 차트 프로그램 개발 (C# ,WPF)","TNH는 2007년 창업이후 병.의원용 CRM솔루션 및 EMR 소프트웨어 개발을 시작으로 의료마케팅과 전자의무기록 시스템의 혁신을 위해 끊임없이 도전해 왔습니다.
TNH는 탁월한 개발자, 마케팅 전문가와 의료인 자문단이 주축이된 의료 소프트웨어 전문기업입니다.
2008년 온라인 기반의 혁신적이고 편리한 환자관리용 매니저 솔루션 및 2010년 업계최초 온/오프라인 연동형 전자의무기록을 탄생 시켰습니다.

TNH는 새로운 10년을 위해 솔루션 및 서비스를 고객 및 사용자 관점에서 혁신을 하고자 하며, 이를 위해 같이 동행할  백엔드 개발자를 모십니다.",서버/백엔드 개발자|SW/솔루션,티엔에이치,"경기 성남시 분당구 성남대로779번길 18, 5층",개발팀은 고객 사에게 지속적이고 안정적인 서비스를 제공을 목표로 합니다.|회사와 같이 성장해 나갈 적극적인 인재를 채용하고 있습니다.|상세 주요 업무는 아래와 같은 일을 하고 있습니다.|당사 서비스 신규 개발 및 유지보수|사내에서 프로그램 최적화 작업,"CS 관련 기본 지식|C# 개발 경험 (WPF, .Net Framework)|MYSQL에 대한 이해|성능 최적화/개선에 관심이 있으신 분","브라우저 컨트롤 경험|Node.js 이용 개발 경험|신기술 관심이 많으시고, 이를 학습 및 프로젝트에 적극적으로 적용하시려는 의지가 있으신 분",2024-11-12 16:00:00,MySQL|WPF|C#|.NET,"[건강을 책임져요]|연 1회 종합 건강 검진 (가족 양도 가능)|예방 접종 지원|[업무에만 집중해요]|최신 장비 제공 (노트북, 데스크탑 선택)|사내 카페테리아, 스낵바 운영|개인 사물함 제공|업무 관련 도서 구매 무한 제공|야근시 교통비 및 식대 제공 (주말 대체 휴무 제공)|[휴식]|점심시간 1시간 30분 제공 및 식대 제공|명절 선물, 귀향비, 생일파티, 휴가비|장기 근속 포상|자율적인 휴가 사용|경조휴가제, 법정 공휴일 휴무|가족 행사 - 경조사, 결혼, 출산 챙겨 드려요|리조트 이용권|언제 어디서나 사용 가능한 복지 포인트 제공|[개발 문화]|코드 리뷰|프로젝트 회고|자유로운 Study Group 운영|Agile scrum 방식의 개발|자유로운 회의 참석|조직의 목표를 같이 회의|최신의 기술 지향 - (Cloud, MSA, DR)","[채용 절차]
• 서류 전형 → 전화 인터뷰 → 1차 인터뷰 (코딩 테스트/기술 인터뷰) → 2차 인터뷰(임원 면접) →  처우 협의 → 최종 합격
※ 절차는 변경될 수 있습니다.
※ 1차, 2차 인터뷰는 하루에 진행될 수 있으며 최소 1시간 이상 소요 될 수 있습니다.

[지원 시 주의사항]
• 3개월의 수습 기간이 있습니다.
• 포트폴리오 제출 시,10MB 초과할 경우에는 링크를 기재해주세요.

[참고사항]
• 서류 합격자에 한해 연락드립니다.
• 본 채용은 수시 진행으로 우수 인재 채용 시 마감될 수 있습니다."
프론트엔드 개발자  (React),"TNH는 2007년 창업이후 병.의원용 CRM솔루션 및 EMR 소프트웨어 개발을 시작으로 의료마케팅과 전자의무기록 시스템의 혁신을 위해 끊임없이 도전해 왔습니다.
TNH는 탁월한 개발자, 마케팅 전문가와 의료인 자문단이 주축이된 의료 소프트웨어 전문기업입니다.
2008년 온라인 기반의 혁신적이고 편리한 환자관리용 매니저 솔루션 및 2010년 업계최초 온/오프라인 연동형 전자의무기록을 탄생 시켰습니다.

TNH는 새로운 10년을 위해 솔루션 및 서비스를 고객 및 사용자 관점에서 혁신을 하고자 하며, 이를 위해 같이 동행할  프론트 엔드 개발자를 모시고 있습니다.",프론트엔드 개발자,티엔에이치,"경기 성남시 분당구 성남대로779번길 18, 5층",개발팀은 고객 사에게 지속적이고 안정적인 서비스를 제공을 목표로 합니다.|회사와 같이 성장해 나갈 적극적인 인재를 채용하고 있습니다.|상세 주요 업무는 아래와 같은 일을 하고 있습니다.|당사 프론트엔드 서비스 및 솔루션 개발|기존 서비스 유지 보수|프론트엔드 서비스 최적화 작업|디자인 패턴을 활용한 아키텍처 및 컴포넌트 설계|UI/UX에 대한 지속적인 고민,"리액트 개발 경험 최소 3년 이상 (필수)|CS 기본 지식|CI/CD, 유닛테스트 사용 경험 (GitAction, Jest)|Redux, Recoil을 활용하여 개발한 경험",MSA 환경 설계 경험이 있으신 분|프로젝트 설계부터 서비스까지 경험이 있으신 분|신기술에 관심이 있으시고 프론트 엔드 개발을 이끌어 주실 자질을 갖추신 분,2024-11-12 16:00:00,JavaScript|TypeScript|React|Redux|jQuery,"[건강을 책임져요]|연 1회 종합 건강 검진 (가족 양도 가능)|예방 접종 지원|[업무에만 집중해요]|최신 장비 제공 (노트북, 데스크탑 선택)|사내 카페테리아, 스낵바 운영|개인 사물함 제공|업무 관련 도서 구매 무한 제공|야근시 교통비 및 식대 제공 (주말 대체 휴무 제공)|[휴식]|점심시간 1시간 30분 제공 및 식대 제공|명절 선물, 귀향비, 생일파티, 휴가비|장기 근속 포상|자율적인 휴가 사용|경조휴가제, 법정 공휴일 휴무|가족 행사 - 경조사, 결혼, 출산 챙겨 드려요|리조트 이용권|언제 어디서나 사용 가능한 복지 포인트 제공|[개발 문화]|코드 리뷰|프로젝트 회고|자유로운 Study Group 운영|Agile scrum 방식의 개발|자유로운 회의 참석|조직의 목표를 같이 회의|최신의 기술 지향 - (Cloud, MSA, DR)","[채용절차]
• 서류전형 → 전화 인터뷰 → 1차 인터뷰 (코딩 테스트 및 개발자와 기술 인터뷰) → 2차 인터뷰 →  처우 협의 → 최종합격
※ 절차는 변경될 수 있습니다.
※ 1차 2차 인터뷰는 하루에 진행되며, 최소 2시간이상 소요 될 수 있습니다.

[지원 시 주의사항]
• 3개월의 수습 기간이 있습니다.
• 포트폴리오 제출 시,10MB 초과할 경우에는 링크를 기재해주세요.

[참고사항]
• 서류 합격자에 한해 연락드립니다.
• 본 채용은 수시 진행으로 우수 인재 채용 시 마감될 수 있습니다."
백엔드 개발자 (JavaScript),"TNH는 2007년 창업이후 병.의원용 CRM솔루션 및 EMR 소프트웨어 개발을 시작으로 의료마케팅과 전자의무기록 시스템의 혁신을 위해 끊임없이 도전해 왔습니다.
TNH는 탁월한 개발자, 마케팅 전문가와 의료인 자문단이 주축이된 의료 소프트웨어 전문기업입니다.
2008년 온라인 기반의 혁신적이고 편리한 환자관리용 매니저 솔루션 및 2010년 업계최초 온/오프라인 연동형 전자의무기록을 탄생 시켰습니다.

TNH는 새로운 10년을 위해 솔루션 및 서비스를 고객 및 사용자 관점에서 혁신을 하고자 하며, 이를 위해 같이 동행할  백엔드 개발자를 모십니다.",서버/백엔드 개발자,티엔에이치,"경기 성남시 분당구 성남대로779번길 18, 5층",개발팀은 고객 사에게 지속적이고 안정적인 서비스를 제공을 목표로 합니다.|회사와 같이 성장해 나갈 적극적인 인재를 채용하고 있습니다.|상세 주요 업무는 아래와 같은 일을 하고 있습니다.|당사 백엔드 서비스 및 솔루션 개발|기존 서비스 유지 보수|백엔드 서비스 최적화 작업|디자인 패턴을 활용한 아키텍처 설계,"CS 관련 기본 지식|Mysql, Node.js, Javascript, TypeScript 활용한 개발 경험","MSA 환경 설계 경험이 있으신 분|프로젝트 설계부터 서비스까지 경험이 있으신 분|CI/CD, 유닛테스트 사용 경험|신기술 관심이 많으시고, 이를 학습 및 프로젝트에 적극적으로 적용하시려는 의지가 있으신 분",2024-11-12 16:00:00,JavaScript|TypeScript|MySQL|Node.js|Linux,"[건강을 책임져요]|연 1회 종합 건강 검진 (가족 양도 가능)|예방 접종 지원|[업무에만 집중해요]|최신 장비 제공 (노트북, 데스크탑 선택)|사내 카페테리아, 스낵바 운영|개인 사물함 제공|업무 관련 도서 구매 무한 제공|야근시 교통비 및 식대 제공 (주말 대체 휴무 제공)|[휴식]|점심시간 1시간 30분 제공 및 식대 제공|명절 선물, 귀향비, 생일파티, 휴가비|장기 근속 포상|자율적인 휴가 사용|경조휴가제, 법정 공휴일 휴무|가족 행사 - 경조사, 결혼, 출산 챙겨 드려요|리조트 이용권|언제 어디서나 사용 가능한 복지 포인트 제공|[개발 문화]|코드 리뷰|프로젝트 회고|자유로운 Study Group 운영|Agile scrum 방식의 개발|자유로운 회의 참석|조직의 목표를 같이 회의|최신의 기술 지향 - (Cloud, MSA, DR)","[채용절차]
• 서류전형 → 전화 인터뷰 → 1차 인터뷰 (코딩 테스트 및 개발자와 기술 인터뷰) → 2차 인터뷰 →  처우 협의 → 최종합격
※ 절차는 변경될 수 있습니다.
※ 1차 2차 인터뷰는 하루에 진행되며, 최소 2시간이상 소요 될 수 있습니다.

[지원 시 주의사항]
• 3개월의 수습 기간이 있습니다.
• 포트폴리오 제출 시,10MB 초과할 경우에는 링크를 기재해주세요.

[참고사항]
• 서류 합격자에 한해 연락드립니다.
• 본 채용은 수시 진행으로 우수 인재 채용 시 마감될 수 있습니다."
Go (Golang)  백엔드 개발자 ,"TNH는 2007년 창업이후 병.의원용 CRM솔루션 및 EMR 소프트웨어 개발을 시작으로 의료마케팅과 전자의무기록 시스템의 혁신을 위해 끊임없이 도전해 왔습니다.
TNH는 탁월한 개발자, 마케팅 전문가와 의료인 자문단이 주축이된 의료 소프트웨어 전문기업입니다.
2008년 온라인 기반의 혁신적이고 편리한 환자관리용 매니저 솔루션 및 2010년 업계최초 온/오프라인 연동형 전자의무기록을 탄생 시켰습니다.

TNH는 새로운 10년을 위해 솔루션 및 서비스를 고객 및 사용자 관점에서 혁신을 하고자 하며, 이를 위해 같이 동행할  백엔드 개발자를 모십니다.",서버/백엔드 개발자,티엔에이치,"경기 성남시 분당구 성남대로779번길 18, 5층",고객 사에게 지속적이고 안정적인 서비스를 제공을 목표로 합니다.|회사와 같이 성장해 나갈 적극적인 인재를 채용하고 있습니다.|주요 업무는 아래와 같은 일을 하고 있습니다.|서비스 Database 변환 도구 개발|의료 차트 시스템 백엔드 개발,Go 언어에 대한 기초 지식과 사용에 무리가 없으신 분|MySQL에 대한 이해와 Query 작성에 자신 있으신 분,"CI/CD, 유닛테스트 사용 경험|신기술 관심이 많으시고, 이를 학습 및 프로젝트에 적극적으로 적용하시려는 의지가 있으신 분|Teraterm 사용 경험",2024-11-12 16:00:00,Golang|MySQL|Go,"[건강을 책임져요]|연 1회 종합 건강 검진 (가족 양도 가능)|예방 접종 지원|[업무에만 집중해요]|최신 장비 제공 (노트북, 데스크탑 선택)|사내 카페테리아, 스낵바 운영|개인 사물함 제공|업무 관련 도서 구매 무한 제공|야근시 교통비 및 식대 제공 (주말 대체 휴무 제공)|[휴식]|점심시간 1시간 30분 제공 및 식대 제공|명절 선물, 귀향비, 생일파티, 휴가비|장기 근속 포상|자율적인 휴가 사용|경조휴가제, 법정 공휴일 휴무|가족 행사 - 경조사, 결혼, 출산 챙겨 드려요|리조트 이용권|언제 어디서나 사용 가능한 복지 포인트 제공|[개발 문화]|코드 리뷰|프로젝트 회고|자유로운 Study Group 운영|Agile scrum 방식의 개발|자유로운 회의 참석|조직의 목표를 같이 회의|최신의 기술 지향 - (Cloud, MSA, DR)","[채용절차]
• 서류전형 → 전화 인터뷰 → 1차 인터뷰 (코딩 테스트 및 개발자와 기술 인터뷰) → 2차 인터뷰 →  처우 협의 → 최종합격
※ 절차는 변경될 수 있습니다.
※ 1차 2차 인터뷰는 하루에 진행되며, 최소 2시간이상 소요 될 수 있습니다.

[지원 시 주의사항]
• 3개월의 수습 기간이 있습니다.
• 포트폴리오 제출 시,10MB 초과할 경우에는 링크를 기재해주세요.

[참고사항]
• 서류 합격자에 한해 연락드립니다.
• 본 채용은 수시 진행으로 우수 인재 채용 시 마감될 수 있습니다."
[신입] 시스템 엔지니어,"급격하게 늘어나는 데이터를 얼마나 빠르게, 얼마나 효율적으로 처리할 수 있는가는 기업의 경쟁력 입니다. 
가야데이터는 데이터의 저장, 사용, 가공, 보호, 보관, 복제, 이관, 원격이동의 ICT 기술을 기반으로 새로운 가치를 창출하고 있습니다. 
정직하고 성실한 기술 구현으로 ICT 기술의 경쟁력있는 국산화를 목표로 가야데이터의 임직원은 한마음 한 뜻으로 노력하겠습니다.",devops/시스템 엔지니어,가야데이터,경상남도 진주시 정촌면 연꽃로165번길 5,정보자원 운용(전산시설) IT 인프라 내 가상화백업 시스템 구축 및 개발 (Ex. VTL / CDP)|자사 데이터 백업 솔루션 소프트웨어의 지속적 개발 및 패치 업무|서버/스토리지 구축 및 GUI 개발|전산 및 IT 기술지원,신입|대졸 (2년제) 이상,관련 3~5년 우대 (신입 가능)|관련 학과 전공자|해당직무 인턴경력|운전 가능자|인근 거주자,2024-11-06 15:00:00,Windows Server|VMware vSphere|Linux|Microsoft SQL Server|Oracle|WordPress|vmware,업무 활동비 지급|상여금|명절선물|워크샵|휴게실|통신비 지급|점심식대 추가지원 외,
Wi-Fi 소프트웨어 개발자 신입 채용,"에이치원래디오(H1 Radio)는 코스닥 상장회사인 에치에프알(주)의 자회사로 2023년에 설립되었으며, 와이파이를 기반으로 한 유무선 통신장비 개발회사로서 국내 와이파이 통신망 구축에 힘써 왔습니다.
최근에는 국내 사업자와 차세대 와이파이 기술인 11ax를 성공적으로 개발하여 상용화를 완료하는 등 원천개발사 역할을 하고 있습니다.
AP Router 뿐 아니라 오랜 경험을 기초로 WiFi, Bluetooth 등 모듈 사업도 전개하고 있어, 국내 유일의 Gateway(AP)와 Endpoint(Client)기술을 동시에 확보한 회사라고 자부하고 있습니다.",SW/솔루션,에이치원래디오,경기 안양시 동안구 벌말로 123 평촌스마트베이 1510호,유·무선 네트워크 및 Wi-Fi 소프트웨어 개발(임베디드 리눅스 기반),C 프로그래밍 가능|임베디드 리눅스 기반 SW 개발 경력 보유|인터넷 통신 프로토콜에 대한 이해 및 개발 경험|경력 : 신입,"무선 네트워크 IEEE 802.11n/a/ax 제품 개발 경력 보유|Wi-Fi 칩셋 솔루션 개발 경력 보유|프로토콜 기능 개발 (L2, GARP, DHCP, IGMP, NAT 등 ) 경력 보유|보안 및 필터 기능 개발 (ebtables, iptables 등 ) 경력 보유|N2X 계측기 사용 디버깅 및 테스트 유경험자",2024-11-28 23:59:59,Embedded Linux|C|L2,"급여제도 : 4대보험, 퇴직연금, 우수사원 포상, 장기근속자 포상|조직문화 : 자유로운 연차 사용, 자유복장, 야근강요 안함, 회식강요 안함|선물 : 장기근속 선물, 생일선물, 웰컴키트|리프레시 : 육아휴직, 산전 후 휴가, 공휴일 휴무, 근로자의 날 휴무, 반차, 경조휴가제, 연차|기타 음료제공, 식비 지원, 간식 제공, 구내식당, 자기계발비 지원, 교육비 지원|출퇴근 : 주10시간제 시행, 주 52시간제 준수, 시차출퇴근제|지원금 : 복지포인트, 통신비 지원|건강검진 : 연 1회 건강검진","• 서류전형 - 면접 - 최종합격
• 입사지원 서류에 허위사실이 발견될 경우, 채용 확정 이후라도 채용이 취소될 수 있습니다.
• 상황에 따라 2차 면접이 진행될 수 있습니다."
Linux OS 개발 및 OS 관리 채용,"㈜싸이몬은 1999년에 설립된 회사로 자본금 13억 5,293만원, 매출액 381억 5,981만원, 사원수 122명 규모의 고용노동부에서 선정한 청년친화 강소기업입니다.
경기 용인시 수지구 포은대로59번길37 시그니처광교 지식산업센터에 위치하고 있으며, 제조업, 소프트웨어사업을 하고 있습니다.",HW/임베디드,싸이몬,경기 용인시 수지구 포은대로59번길 37 시그니처광교 지식산업센터 1010호~1015호,임베디드 기반의 커널 드라이버 개발|임베디드 S/W 개발 (개발 검증 등)|Docker 컨테이너 환경 구축 및 관리|Linux OS 개발 서버 운영 및 관리,"컴퓨터공학, S/W공학, 전기, 전자 및 관련 학과 전공자|신입~경력 5년 이하|Docker 컨테이너 사용 경험|DKAS 구축 및 운영 경험|Yocto project 개발 경험|임베디드 제품 개발 및 양산 경험",Qt Application 앱 개발 경험|Embedded Linux kernel 이해 능력 보유,2024-11-06 23:59:59,Linux|SW|Yocto|Qt|Embedded|Docker,"명절복지 : 설, 추석 상여 지급|야근식대 : 불가피한 야근시 저녁 식대 지원|출퇴근 셔틀 운영 : 출퇴근을 지원하는 셔틀 무료 운영|건강검진 : 30만원 상당의 검진비 지원|유연근무제 : 육아기(만8세이하)자녀를 둔 근로자를 위해 시차 출근 운영|경조사 지원 : 경조사비 및 경조 휴가 제공|자기계발 지원 : 직무능력 향상 교육 제공|에버랜드 입장권 지원 : 합리적인 가격으로 테마파크 이용|카페테리아 : 사내 휴게실에서 커피 제공|눈치 NO : 자유로운 연차 사용",
Backend Server 개발자 모집,"Backend Server 개발자 모집​
인텔리코드는 2009년 설립되어 인공지능 데이터 분석 및 서비스 플랫폼을 개발하고 있으며,
전자, 통신, 금융 분야의 고객사에 플랫폼을 제공하고 있습니다.
특히 고객은 AWS 기반으로 모든 서비스들을 구축 및 운영을 하고 있으며 저희와 협업을 하고 있습니다.
장기적으로 다양한 솔루션 개발을 함께 하고자 하시는 인재분을 찾고 있습니다.",서버/백엔드 개발자,인텔리코드,"경기 수원시 영통구 광교로 105 경기R&DB센터 705호, 711호",빅데이터 & 인공지능 플랫폼의 Backend Server 개발|현재 운영 중인 Service Server 추가 기능 개발,"Python Programming 기술 보유 또는 Java Programming 기술 보유|HTTP(S), Socket Network 개발 경험 보유|TCP/IP 통신 프로토콜에 대한 지식 보유|Django framework 활용 기술 보유|SQL에 대한 지식 보유","Fastapi framework 등을 이용한 HTTP Server 개발 경험 보유|WebSocket Server 개발 경험 보유|Spring 또는 Jetty framework 등을 이용한 HTTP Server 개발 경험 보유|Apache MINA framework 등을 이용한 TCP Socket Server 개발 경험 보유|Public Cloud(AWS, Azure, Google 등) 사용 경험 보유|Elasticsearch를 이용한 개발 경험 보유|Java GC(Garbage Collection) Option을 통한 튜닝 경험 보유",2024-11-20 23:59:59,Django|TCP/IP|FastAPI|AWS|Java|Backendless|Python|WebSocket|SQL|Network,ㆍ 최신 노트북 및 모니터 장비 지급|ㆍ 자유로운 연차 분위기 (연차 / 반차)|ㆍ 점심 식대/간식/음료수/캡슐 커피 제공|ㆍ 팀웍을 위한 팀 활동비 지원|ㆍ 자기성장에 필요한 도서 구입 지원|ㆍ 패밀리데이 (월 1회 4시간 조기 퇴근 - 정규직)|ㆍ 프로젝트별 리프레쉬 휴가|ㆍ 장기근속자 리프레쉬 휴가|* 담당 업무 등 문의사항은 공고 담당자에  이메일로 문의 주시면 회신 드립니다.,
2차전지 검사기 개발자 신입직 채용 (천안근무),"저희 ㈜아이비젼웍스는 이차전지 검사 전문 회사이며 사업 확장에 따른 인재를 모집하고 있습니다. 
이차전지 글로벌사에 검사기로 납품 중이며 내년 상장을 목표로 사업을 진행중에 있습니다. 
사업장 소재지는 대전입니다만, 천안지사와 광교지사를 운영중에 있습니다. 
",SW/솔루션,아이비젼웍스,"대전 유성구 테크노2로 187, 109호","2차전지 비젼검사기 응용 프로그램, 알고리즘 개발",신입직|C++ 개발 스킬,"컴퓨터 또는 소프트웨어 관련 전공자|Open CV, Mil, Halcon 등 영상처리 라이브러리 사용 경험|2차전지 검사장비 개발 경험|해외 출장에 어려움이 없는 분|팀단위 프로젝트 경험",2024-11-07 23:59:59,OpenCV|C++|Mfc,"매년 영업이익에 따른 인센티브|장거리 출퇴근시 유류비 제공 또는 숙소지원금 제공|명절 보너스, 명절 근무시 특별 근로 수당 지급|10시 출근, 탄력 근무제 운영|휴일 근무시 평일 대체 휴무제|해외 출장 수당, 유럽,미국 9만원, 중국 8만원, 교통비 숙박비 별도 지급|출장시 숙소 1인실|신규 및 재직자 내일 채움 공제 지원|자유복장, 자유로운 연차사용|근로자휴가비지원사업 참여|중/석식 제공|도서구입지원|음료, 간식 제공","[채용절차]
• 서류전형 → 인성검사 → 1차 인터뷰 → 처우 협의 → 최종합격
※ 절차는 변경될 수 있습니다.

[지원 시 주의사항]
• 3개월의 수습 기간이 있습니다.(수습 기간 동일 급여와 복리후생 보장)
• 포트폴리오 제출 시,10MB 초과할 경우에는 링크를 기재해주세요.

[참고사항]
• 서류 합격자에 한해 연락드립니다.
• 본 채용은 수시 진행으로 우수 인재 채용 시 마감될 수 있습니다."
[플레이오] 데이터 분석가 (Data Analyst),"[GNA COMPANY]
지엔에이컴퍼니는 게임사의 니즈에 최적화된 마케팅을 제공하는 게이머 전용 플랫폼 ‘플레이오’라는 안드로이드 앱을 서비스하고 있습니다. 게임 사전예약부터 출시 후 성장까지 플레이오만의 마케팅 솔루션으로 게임 마케팅 캠페인을 진행하고 있습니다.
게임을 사랑하는 유저들에게 최고의 혜택을 제공하는 플랫폼 서비스를 지향하며, 다양한 게임 엔터테인먼트 경험에 가치를 더하고자 합니다.
한국을 시작으로 미국, 일본에 서비스하고 있으며, 대만 진출을 앞두고 있습니다. 

[플레이오 Playio]
Best Value for Gamers
플레이오는 게이머가 정당하게 대우받고 존중받는 세상과 게임의 가치를 꿈꿉니다.
Nexon, NC, 넷마블, 네오위즈, Moon Active 등 150여 개의 파트너사들과 협업, 3,000개 이상의 게임이 입점해 있으며, 8백만 이상의 게임 다운로드, 3백만명 이상의 앱 다운로드를 받았습니다.
안드로이드 앱에 이어 iOS 앱 출시를 준비하고 있습니다. ",DBA,지엔에이컴퍼니,서울 서초구 방배로27길 8 3층,"BI Tool(Tableau)를 활용하여 전사가 활용하는 대시보드를 구축합니다.|분석 니즈에 맞춰 DW/DM 구조를 설계하고 DBT를 통해 적재합니다.|데이터 분석을 통해 인사이트를 발굴하고 제품팀, 사업팀에게 인사이트를 전달합니다.","SQL, Python을 활용하여 데이터 추출, 분석에 어려움이 없으신 분|Funnel, Cohort, A/B Test 등의 실험 프레임워크 사용에 어려움이 없으신 분|프로덕트 및 비즈니스 핵심 지표를 설정하고, 지표 성장을 위해 다양한 가설을 세우고 실험하여 직접 서비스를 개선해보신 분","애드테크 분야에 관심이 많으신 분|명확히 정의되지 않은 문제를 정의하고 해결하는 걸 즐기거나 두려움이 없는 분|DuckDB, DBT, Deltalake을 활용해보신 분",2024-11-13 23:59:59,Python|SQL|Tableau,"개인의 성장이 팀의 성장이라고 믿습니다. 개인의 성장을 위해 다양한 지원을 마다하지 않습니다.|Slack, Notion, Jira 등 다양한 업무용 도구(SaaS)를 적극적으로 사용합니다.|MacBook Pro/Air, iMac, gram 중 원하는 장비를 지원합니다.|27” 4K 모니터를 기본으로 사용하고 필요시 듀얼 모니터도 지원합니다.|업무와 관련된 도서 구입을 지원합니다.|오전 8:30~10:30 사이에 자유롭게 출근합니다.|주 1회 재택 근무를 합니다.|음료와 함께 리프레시와 소통이 가능한 휴식 공간이 있습니다.|마음의 건강을 위해 심리상담을 지원합니다.|생일선물과 경조사, 명절선물도 챙겨드립니다.","계약직(6개월-평가 후 정규직 전환 가능)
서류 전형 > 면접 전형 > 처우 협의 > 최종 합격"
