title,intro,category,comp_name,comp_addr,role,requirement,preferred,due,tech_stack,welfare,procedure
ML Researcher,인공 지능 스타트업 메이 아이 머신 러닝 연구원 경력 무관 대체복무 가능 메이 아이 기업 우리 오프라인 매장 방문객 데이터 분석 인공 지능 솔루션 매쉬 스타트업 수준 매쉬 환경 정확도 유지 논문 선정 혁신 수상 다방면 성과 우리 기술 증명 하반기 원 규모 시리즈 유치 성공 마무리 기반 시장 점유 목전 우리 성장 속도 히치하이커 mAy I ML Researcher Position ML Researcher Team ML Research Team make offline smart with AI mAsh CVPR CES A,데이터 엔지니어|파이썬 개발자|머신러닝 엔지니어,메이아이,"서울 강남구 삼성로85길 26, V&S빌딩 5층",메이 아이 타의 추종 불허 매쉬 독보 기술 객체 검 식별 안정 재 식별 필터 링 데이터 분석 메이 아이 매쉬 환경 분석 인공 지능 만듭니 주요 모델 정확도 향상 위 연구 개발 동영상 사람 검 출하 추적 서로 다른 카메라 동일인 식별 동영상 사람 성별 연령 예측 기반 각 인물 공간 내 전체 동선 추적 제품 확장 고객 충족 위 기술 프로토타이핑 연구 개발 예 방문객 상품 상호 작용 분석 기술 방문객 특정 광고 물 시청 분석 기술 매장 관리 위 도난 위험 감지 기술 채용 배경 메이 아이 영상 분석 시스템 하루 영상 처리 하나 매장 하루 분석 방문객 최대 명 달 메이 아이 고객 지금 순간 고객 사가 것 매쉬 분석 영상 양 종류 증가 것 의미 변수 존재 상황 성능 유지 데 모듈 지속 개선 따라서 능력 보유 모시 다음 미션 해결 환경 정확도 유지 엔진 연구 개발 업종 고객 만족 시장 확보 엔진 연구 개발 비용 시간 최소한 리소스 소비 엔진 연구 개발 메이 아이 시리즈 투자 유치 료 통해 증명 이제 시리즈 과정 메이 아이 가파르 성장 원동력 동료 ML ML ML ML Human object Multi Human object Tracker Person Re identifier Gender/age Estimator Person Re Multi camera multi object tracking ML ML Research ML ML ML ML A,메이 아이 기술 최전선 일 매쉬 인공 지능 직 따라서 머신 러닝 분야 전문성 그 준 수준 역량 요구 보유 능력 한계 발휘 폭 지원 의사결정 약속 컴퓨터 머신 러닝 분야 연구 개발 경력 분야 논문 적용 역량 수학 컴퓨팅 지식 기반 정의 그것 해결 과정 성향 메이 아이 공감 마음 ML,지원 위 필수 조건 보유 계시 수행 때 도움 역량 도메인 집중 연구 보신 경험 머신 러닝 연구 진행 논문 특허 작성 보신 경험 대량 영상 데이터 연구 개발 사용 관리 보신 경험 컴퓨터 멀티미디어 컴퓨팅 전문 지식 팀 풀 풀 문제 앞서 기술 바 환경 방문객 데이터 더 더 추출 엔진 것 여기 더 란 하루 평균 명 방문 공간 구조 공간 린징 환경 데이터 추출 엔진 것 의미 더 란 매장 방문 상품 방문 이벤트 상품 얼마나 적극 체험 광고 얼마나 주의 시청 도난 특이 행동 정량 데이터 엔진 것 의미 더 데이터 오프라인 공간 더 것 궁극 목표 일 메이 아이 에픽 스토리 테스 계층 업무 시스템 활용 팀 전체 에픽 스토리 정의 위해 논의 달성 위 테스 각자 정의 실행 테스 주 단위 스프린트 관리 매 스프린트 시작 초기 미팅 끝 리뷰 미팅 진행 진행 상황 스케줄 효율 대해 이야기 팀 내 정의 목표 위해 각자 연구 방향성 설정 연구 결과 통해 실력 증명 또한 경우 특정 주제 세미나 진행 혼자 것 위해 노력 가치 메이 아이 기술 고성능 엔진 직접 개발 또한 업계 최고 성능 기록 국내 굴지 대기업 만족 오프라인 공간 방문객 데이터 분석 아래 고도화 연구 활동 지원 예 분야 논문 발표 업계 최고 수준 기술 증명 바 따라서 합류 고객 사의 컴퓨터 기술 연구 내용 실제 제품 반영 가치 제공 경험 무엇 여정 동료 메이 아이 현재 팀 문화 능동 위 팀 문화 Object Detection Multi Object Tracking Person Re Identification Age Estimation ML Research ML Research ML ML ML ML Researcher ML Research ML Research AI ML Research Human Object Interaction ML Research,2024-11-30,멀티미디어|컴퓨터 비전|ML,최대 자유 속 최고 효율 핫 타임 제도 저녁 삶 아침 삶 히치하이커 평일 오후 사무실 상주 원격 근무 제도 핫 타임 이외 곳 근무 각자 최대 효율 낼 곳 라면 어디 유연 근무 제도 시간 불문 주 회사 기여 밤 집중 부엉이 아침 에너지 까치 환영 전체 정렬 시스템 스프린트 주 단위 관리 스프린트 시작 첫 영업일 히치하이커 업무 상황 공유 연차 차 시스템 연차 차 사용 때 사유 결제 휴식 언제 푹 쉬 리프 레시 휴가 제도 장기 근속 대상 리프 레시 휴가 원금 지급 다시금 컨디션 메이 아이 여행 업무 몰입 효율 것 지원 최신 업무 지원 업무 자격증 취득 비용 지원 업무 용 소품 데스크 원금 지원 분야 제한 도서 구매 비 전액 지원 업무 용 서비스 구독료 지원 출장 비 업무 비용 일체 지원 강의 세미나 컨퍼런스 참가 비 지원 부분 신규 입사 웰컴 기프트 제공 미사 용 연차 수당 지급 경조 휴가 비 물품 지원 야간 근무 시 택시 비 지원 생일 축하 이벤트 선물 제공 건강 검진 할인 명절 선물 제공 중소기업 소득세 신청 회식비 전액 지원 자율 참석 보험 가입,직전 연봉 대비 협상 포지션 산업 기능 요원 요원 전직 편입 산업 기능 요원 보충역 전직 편입 현역 전직 요원 보충역 현역 모두 전직 편입 만남 준비 합류 여정 안내 전형 자유 양식 이력서 자기 소개 포트폴리오 제출 사진 가족 사항 신체 정보 출신 지역 직무 관계 정보 비대 인터뷰 직무 비대 인터뷰 요청 드릴 내외 진행 업무 연관 히치하이커 인터뷰 참여 전형 송부해 주신 자료 기반 직무 경험 기술 대해 이야기 직무 인터뷰 메이 아이 사무실 대면 진행 내외 소요 예비 팀 인터뷰 참여 구체 직무 역량 경험 추구 업무 방향 대해 이야기 컬처 핏 인터뷰 메이 아이 사무실 대면 비 대면 진행 내외 소요 메이 아이 대표 인터뷰 참여 업무 문화 추구 가치 메이 아이 문화 적합 대해 이야기 처우 협의 보상 안 협의 입사 일 조율 예비 히치하이커 합류 여정 상황 필요 포지션 변경 제출 주신 서류 담당자 확인 후 영업일 내 연락 합류 뒤 개월 온보딩 기간 용기 온보딩 기간 서로 핏 시간 기간 내 정직 전환 자발 중지
백엔드 개발자 / 이미지 프로세싱,회사 소개 전 세계 확장 중인 디자인 올인원 플랫폼 미리 디 디자인 생태계 혁신 디자인 문화 미션 아래 올인원 디자인 솔루션 고객 미리 캔버스 국내 온라인 프린팅 서비스 비즈 하우스 운영 매년 이상 매출 작년 매출 영업 이익 달성 규모 시리즈 유치 성공 완료 팀 일원 전 세계 우리 알리 디자인 미래 동료 미리 캔버스 누구 디자인 통해 자신 이야기 표현 세상 디자인 지식 템플릿 요소 나 창의 작품 기준 가입자 돌파 한국인 가장 사랑 디자인 플랫폼 미리 캔버스 표현 세상 경험 비즈 하우스 개 이상 샘플 디자인 뷰 획기 인쇄 경험 제공 매년 이상 온라인 서비스 더욱 고객 위 프린팅 플랫폼 거듭 일본 미국 배송 시작 No B AR POD,DevOps / 시스템 관리자|서버 개발자|웹 개발자,미리디,"서울 구로구 디지털로31길 12, 8층, 13층, 14층 (구로동, 태평양물산)",서비스 백엔드 개발 운영 기존 서비스 미리 디 개발 운영 목업 배경 제거 이미지 만들기 신규 위 조사 개발 운영 Java Spring Boot PostgreSQL JPA Querydsl AWS MSA AR AI,객체 지향 프로그래밍 이해 개발 경험 이해 자료구조 운영체제 컴퓨터 아키텍처 네트워크 환경 이해 기본 사용 Java Spring Framework Git,학과 전공 클라우드 개발 경험 개발 경험 구축 경험 활용 개발 구성 경험 작성 경험 활용 구성 경험 활용 이미지 처리 경험 편집 도구 활용 프론트엔드 개발 경험 기술 적극 학습 활용 위해 항상 의지 이력서 형식 보유 기술 별 명시 이력서 제출 해당 능력 지식 무엇 업무 수행 경험 충분 치 도움 수준 기본 업무 수행 수준 업무 경험 도움 지식 경험 업무 수행 도움 필요 수준 지식 경험 전문 다른 사람 리드 교육 정도 수준 아래 해당 개발 경험 이력서 포함 오픈소스 기여 개발 문서 번역 개인 웹 서비스 구축 AWS Node.js Typescript Python CI/CD Docker linux shell script pytorch tensorflow AI Skill Novice Developing Proficient Advanced ex Java Javascript Node.js AWS,2024-11-18,,혜택 복지 미리 디 복지 통해 나눔 경영 실현 자율 책임 근무 환경 제공 휴가 사용 경조사 휴가 지원 배움 성장 행복 지원 업무 비용 지원 업무 도서 비용 무제한 지원 직원 행복 위 행복 개발 비 지원 외부 교육 기술 세미나 적극 활용 일 미리 시세 끼 지원 아침 점심 저녁 식사 비 지원 제휴 카페 포인트 지원 미리 회사 적응 단합 지원 직급 수평 문화 지향 근속 시 리프 레시 휴가 신입사원 적응 프로그램 지원 미리 동호회 지원 분기 별 문화 이벤트 회식 지원 기타 사항 서류 전형 차 인터뷰 차 인터뷰 처우 협의 입사 프로세스 진행 서류 검토 위해 형식 제출 차 인터뷰 경우 직무 직급 생략 직무 코딩 테스트 과제 전형 추가 직급 인터뷰 후 레퍼런스 체크 전형 추가 입사 후 개월 수습 기간 수습 평가 진행 급여 전형 결과 안내 최대 주 인터뷰 결과 안내 최대 주가 소요 여러 포지션 동시 지원 포지션 경우 최종 결과 안내 시점 개월 후 재 지원이 OJT PDF,
"[울산] 풀스택 개발자 (nodejs, react)",생각 실현 분 주 위드 어스 곳 의미 주 위드 어스 풀 스택 개발자 출신 대표 정말 현재 솔루션 중점 개발 올해 안정 토대 마련 계획 스타트업 답 존중 분위기 지향 회사 성장 파격 스타트업 문화 혁신 파크 전문 회사 거듭 려고 nodejs AI UNIST AI AI,프론트엔드 개발자|서버 개발자|웹 개발자,위드어스인,울산 울주군 테크노산업55길 10 (유니스트 AI 혁신파크),사용 커뮤니케이션 통해 프로젝트 진행 기술 도구 습득 최신 트렌드 기술 발전 Nodejs React,백엔드 프론트엔드 개발 경험 왜 질문 계속 분 개발 질문 답변 동료 해결 마찰 분 가장 부분 생각,소프트웨어 개발 분야 이상 경력 보유 분 선호 디자인 개발 기본 이해도 분 환영 문제해결 능력 항상 더 해결 방법 분 사랑 UI/UX,,JavaScript|Node.js|TypeScript|React.js|React Native,자율 출근 출근 시 퇴근 호칭 수평 문화 금요일 재택근무 폭염 경보 태풍 보시 재택근무 ex,전형 최종 면접 면접 시 코딩 테스트 볼
AI 최적화 엔지니어,인공 지능 전문 회사 호두 아이 랩 서울대 공원 위치 기업 부설 연구소 보유 병역 특례 지정 업체 로서 전문 연 항시 채용 원천 기술 보유 최적화 프로젝트 수행 현재 회사 규모 명 안팎 석사 이상 전문가 구성 호두 아이 서울대 연구실 창업 스타트업 기술 보유 기술 적용 고객 제품 공급 위 개발 활동 동시 진행 국내 최고 수준 기술 보유 치 스타트업 경력 위 최적 환경 제공 엔지니어 지원 AI AI AI AI AI,DevOps / 시스템 관리자|파이썬 개발자|머신러닝 엔지니어,호두에이아이랩,서울 관악구 서울대학교 연구공원 본관 419호,최적화 개발 개발 사용 환경 AI NPU/GPU AI Model quantization/pruning tool Onnx runtime Tensor RT Tensorflow Lite CUDA C,개발 경력 프레임워크 연구 개발 유 경험 최적화 유 경험 최적화 경량 유 경험 구현 Pytorch Python C++/C LLVM MLIR AI AI CUDA Onnx runtime TensorRT TF Lite Embedded Sytem AI,프레임워크 연구 개발 유 경험 개발 유 경험 유 경험 컴파일러 과목 수강 전공자 석사 이상 우대 LLVM MLIR CUDA Pytorch Onnx Tensor RT,,Pytorch|Python|C++|CUDA,근무 형태 정규직 수습 개월 협의 가능 근무 요일 주 근무 풀타임 근무 근무 서울대 연구 공원 급여 연봉 이상 면접 후 결정 스톡옵션 제공 협의 가능 기타 휴가 일수 협의 가능,
프론트엔드 엔지니어,글로벌 시장 압도 클라우드 기술 제공 노드 인프라 미르니 클라우드 인프라 기업 블록 체인 재단 기관 투자 대상 클라우드 효율 관리 비즈니스 블록 체인 시장 태동 형태 프로토콜 서비스 등장 노드 인프라 시장 경쟁력 기술 개발 집중 고객 사 압도 클라우드 제공 팀 소개 노드 인프라 데이터 엔지니어 팀 블록 체인 커뮤니티 의사결정 체인 데이터 툴 기획 가공 개발 탈 중앙 블록 체인 프로토콜 이해관계자 각자 목적 생태계 참여 팀 이해관계자 데이터 요구사항 파악 데이터 자동 가공 시스템 기획 실제 시스템 개발 사용자 피드백 전 과정 개발 직접 진행 팀 탈 중앙 블록 체인 프로토콜 호기심 커뮤니티 공감 팀원 구성 B2B Data Data,프론트엔드 개발자|웹 개발자|소프트웨어 엔지니어,미르니,서울 관악구 서울시 관악로 12길 10,체인 데이터 기획 데이터 시각 전 과정 진행 체인 데이터 기획 예 디파이 구조 조사 체인 데이터 인덱싱 예 인덱싱 체인 데이터 가공 예 쿼리 작성 체인 데이터 시각 예 데이터 프레임워크 활용 EVM Subgraph SQL Javascript,체인 데이터 탐구 관심 사용 경험 사용 경험 SQL Javascript,노드 인프라 운영 베 체인 깊이 이해 체인 데이터 분석 경험 예 블록 체인 데이터 인덱싱 경험 최신 블록 체인 기술 금융 상품 인 센티 브 구조 리서치 경험 Dune Analytics EVM,,,연차 사용 복장 호칭 퇴직 연금 중소기업 청년 소득세 중소기업 취업 청년 전월세 보증금 대출 간식 생일 선물 명절 선물 각종 경조사 지원 리프 레시 장기 근속 휴가 조휴 출산휴가 육아휴직 지원 최신 노트북 모니터 의자 지원 고성 과자 스톡옵션 부여,
3D Insight Web 솔루션 개발,플랜트 인사이트 설립 회사 자본금 매출 액 사원수 명 규모 중소기업 서울 마포구 공덕동 위치 플랜트 분야 개발 컨설팅 설계 서비스 사업,.NET 개발자|웹 개발자,플랜트인사이트,서울 마포구 서울시 공덕동,랜더링 뷰 구현 산업 용 모델 컨텐츠 변환 기능 구현 기능 구현 WebGL WebGL WebUI,학력 졸업 이상 신입 무관 경력 경력 유관 기술 경력 분야 개발 경험 개발 경험 관심 분 분야 기술 경험 개반 분야 개발 경험 개발 경험 Insight Web/AppStream Web AI E3D/ E3D S3D PDMS Net,컴퓨터 시스템 공학 해당 직무 근무 경험 학점 우수 신입,2024-11-07,,퇴직 연금 연차 사용 자유 복장 야근 강요 회식 강요 수평 조직 문화 명절 선물 향비 리프 레쉬 근로자 날 창립 일 휴무 산전 후 휴가 조휴 가제 음료 지원 차 커피 점심식사 제공 자기계발 비 지원 도서 구입 비 지원 주 준수 탄력 무제 내일 공제 선택 복리 후생 문화 생활비 각종 경조사 지원 건강검진 휴일 수당 x x,차 면접 면접 일정 추후 통보
3D Insight AppStream 솔루션 개발,플랜트 인사이트 설립 회사 자본금 매출 액 사원수 명 규모 중소기업 서울 마포구 공덕동 위치 플랜트 분야 개발 컨설팅 설계 서비스 사업,.NET 개발자|웹 개발자,플랜트인사이트,서울 마포구 서울시 공덕동,이용 개발 기능 구현 WebRTC/Socket/Docker SSR Server Side Rendering NET UI,학력 졸업 이상 신입 무관 경력 경력 유관 기술 경력 분야 개발 경험 개발 경험 관심 분 분야 기술 경험 개반 분야 개발 경험 개발 경험 Insight Web/AppStream Web AI E3D/ E3D S3D PDMS Net,컴퓨터 시스템 공학 해당 직무 근무 경험 학점 우수 신입,2024-11-07,,퇴직 연금 연차 사용 자유 복장 야근 강요 회식 강요 수평 조직 문화 명절 선물 향비 리프 레쉬 근로자 날 창립 일 휴무 산전 후 휴가 조휴 가제 음료 지원 차 커피 점심식사 제공 자기계발 비 지원 도서 구입 비 지원 주 준수 탄력 무제 내일 공제 선택 복리 후생 문화 생활비 각종 경조사 지원 건강검진 휴일 수당 x x,차 면접 면접 일정 추후 통보
플랜트3D설계 SW(E3D/S3D)기반 개발,플랜트 인사이트 설립 회사 자본금 매출 액 사원수 명 규모 중소기업 서울 마포구 공덕동 위치 플랜트 분야 개발 컨설팅 설계 서비스 사업,.NET 개발자|웹 개발자|머신러닝 엔지니어,플랜트인사이트,서울 마포구 서울시 공덕동,활용 기능 개발 기반 구현 E3D S3D Addin,학력 졸업 이상 신입 무관 경력 경력 유관 기술 경력 분야 개발 경험 개발 경험 관심 분 분야 기술 경험 개반 분야 개발 경험 개발 경험 Insight Web/AppStream Web AI E3D/ E3D S3D PDMS Net,컴퓨터 시스템 공학 해당 직무 근무 경험 학점 우수 신입,2024-11-07,,퇴직 연금 연차 사용 자유 복장 야근 강요 회식 강요 수평 조직 문화 명절 선물 향비 리프 레쉬 근로자 날 창립 일 휴무 산전 후 휴가 조휴 가제 음료 지원 차 커피 점심식사 제공 자기계발 비 지원 도서 구입 비 지원 주 준수 탄력 무제 내일 공제 선택 복리 후생 문화 생활비 각종 경조사 지원 건강검진 휴일 수당 x x,차 면접 면접 일정 추후 통보
백엔드 엔지니어,글로벌 시장 압도 클라우드 기술 제공 노드 인프라 미르니 클라우드 인프라 기업 블록 체인 재단 기관 투자 대상 클라우드 효율 관리 비즈니스 블록 체인 시장 태동 형태 프로토콜 서비스 등장 노드 인프라 시장 경쟁력 기술 개발 집중 고객 사 압도 클라우드 제공 팀 소개 노드 인프라 데이터 엔지니어 팀 블록 체인 커뮤니티 의사결정 체인 데이터 툴 기획 가공 개발 탈 중앙 블록 체인 프로토콜 이해관계자 각자 목적 생태계 참여 팀 이해관계자 데이터 요구사항 파악 데이터 자동 가공 시스템 기획 실제 시스템 개발 사용자 피드백 전 과정 개발 직접 진행 팀 탈 중앙 블록 체인 프로토콜 호기심 커뮤니티 공감 팀원 구성 B2B Data Data,데이터 엔지니어|서버 개발자|소프트웨어 엔지니어,미르니,서울 관악구 서울시 관악로 12길 10,체인 데이터 기획 데이터 시각 전 과정 진행 체인 데이터 기획 예 디파이 구조 조사 체인 데이터 인덱싱 예 인덱싱 체인 데이터 가공 예 쿼리 작성 체인 데이터 시각 예 데이터 프레임워크 활용 EVM Subgraph SQL Javascript,체인 데이터 탐구 관심 사용 경험 사용 경험 SQL Javascript,노드 인프라 운영 베 체인 깊이 이해 체인 데이터 분석 경험 예 블록 체인 데이터 인덱싱 경험 최신 블록 체인 기술 금융 상품 인 센티 브 구조 리서치 경험 Dune Analytics EVM,,,연차 사용 복장 호칭 퇴직 연금 중소기업 청년 소득세 중소기업 취업 청년 전월세 보증금 대출 간식 생일 선물 명절 선물 각종 경조사 지원 리프 레시 장기 근속 휴가 조휴 출산휴가 육아휴직 지원 최신 노트북 모니터 의자 지원 고성 과자 스톡옵션 부여,
QA Specialist (계약직),합류 팀 대해 토스 팀 근무 토스 제품 때문 여러 팀 협업 토스 사용자 결함 테스트 커버 리지 확장 자동화 집중 QA Quality,"QA,테스트 엔지니어",비바리퍼블리카(토스),서울 강남구 테헤란로 142 아크플레이스 12층,합류 업무 토스 서비스 전반 테스트 수행 팀원 토스 앱 릴리 프로세스 신규 기능 품질 보증 수행 본인 제품 고도화 테스트 커버 리지 위 수행 해당 포지션 계약 직 채용 계약 기간 Mobile Application Test,분과 업무 테스트 실무 경험 최소 이상인 분 가장 장점 분 다른 직 팀원 소통 능력 테 스팅 열정 긍정 마인드 품질 조직 수행 유관 경험 QA IT,,,,일해 자율 책임 문화 토스 구성 조직 정보 공유 수평 문화 속 구성원 업무 위임 신뢰 세상 변화 효율 업무 방식 가장 영향 일 집중 획일 업무 프로세스 데이터 사고 적극 토론 가장 효율 문제 해결 위해 협업 실행 팀 동료 각 분야 최고 수준 역량 인재 자율 책임 원칙 아래 역량 발휘 자율 효율 근무 환경 제공 자율 출퇴근 제도 자율 휴가 재택근무 업무 성장 지원 비 포괄 임금 제 운영 업무 비용 지원 최고급 소프트웨어 제공 기별 성과급 지급 매월 통신비 체력 비 지원 명절 상여금 생일 축하 비 직장 단체 보험 비 가족 포함 사비 인재 추천 비 것 회사 법인 카드 전원 지급 점심 저녁 식사 비용 야간 교통비 지원 사내 카페 커피 무료 이용 사내 편의점 헤어 살롱 복지 시설 무료 이용 Early Friday OFF Week Silo,접수 사전 과제 직무 인터뷰 문화 합성 인터뷰 최종 합격 입사
